id;titulo;genero;ano;duracao(min)
1;Meetin' WA;Documentary;1987;59
2;D.O.A.;Documentary;1982;146
3;Duel at Silver Creek, The;Western;1945;116
4;Santa Fe Trail;Drama|Romance|Western;2003;133
5;Katsastus;Comedy|Drama;1966;132
6;2046;Drama|Fantasy|Romance|Sci-Fi;1951;59
7;Starry starry night (Xing kong);Children|Drama|Fantasy;1951;97
8;Steppenwolf;Drama;1966;130
9;Made in Heaven;Fantasy|Romance;1941;140
10;Star Maps;Drama;1969;63
11;Our Music (Notre musique);Drama;1920;139
12;Canterville Ghost, The;Comedy|Fantasy;1945;105
13;Diplomatic Siege;Action|Thriller;1967;109
14;Mr. Deeds;Comedy|Romance;1969;89
15;Let's Get Lost;Documentary|Musical;2004;140
16;Twilight Saga: Eclipse, The;Fantasy|Romance|Thriller|IMAX;1914;135
17;Out of Life (Hors la vie);Drama;2005;110
18;Of Gods and Men (Des hommes et des dieux);Drama;1992;109
19;Soldiers of Fortune;Action|Adventure;1917;51
20;Last Legion, The;Action|Adventure|Fantasy|War;1903;143
21;Salt;Action|Thriller;1926;158
22;Exorcismus;Horror;1912;56
23;This Thing With Sarah;Comedy|Drama|Romance;1923;166
24;White Sun of the Desert, The (Beloe solntse pustyni);Action|Adventure|Comedy|Drama|Romance|War;1916;204
25;The Woman in Black 2: Angel of Death;Drama|Horror|Thriller;1949;77
26;Adventures of Felix, The (a.k.a. Funny Felix) (Drôle de Félix);Comedy|Drama;1907;45
27;Wuthering Heights;(no genres listed);2013;126
28;Destiny Turns on the Radio;Comedy;1937;74
29;Man of Straw (Untertan, Der);Comedy|Drama;1995;186
30;New Fist of Fury (Xin jing wu men);Action|Drama;1999;115
31;Road Trip;Comedy;1900;146
32;Elephants Dream;Animation|Fantasy|Sci-Fi;2000;121
33;Safrana or Freedom of Speech (Safrana ou le droit à la parole);Drama;1909;69
34;Journey to Italy (Viaggio in Italia) (Voyage to Italy) (Voyage in Italy);Drama|Romance;1951;167
35;Box, The;Drama|Horror|Mystery|Sci-Fi|Thriller;1926;193
36;Streets of Laredo;Drama|Western;1941;123
37;Fort Bliss;Drama|War;1902;89
38;Cry Wolf;Crime|Drama|Mystery|Thriller;1933;149
39;Tyler Perry's A Madea Christmas;Comedy|Drama;1945;67
40;Nightmare on Elm Street 5: The Dream Child, A;Horror;1986;101
41;40 Pounds of Trouble;Comedy;1908;71
42;Bridge Too Far, A;Action|Drama|War;1948;62
43;Departures (Okuribito);Drama;1956;45
44;Just Another Love Story (Kærlighed på film);Crime|Drama|Thriller;1953;206
45;Mortuary;Horror|Mystery|Thriller;1958;194
46;Crime Wave;Adventure|Comedy;2003;185
47;Wife! Be Like a Rose! (Tsuma yo bara no yo ni);Drama;1962;56
48;Michael Shayne: Private Detective;Comedy|Drama|Mystery;1933;192
49;Confession, The;Drama|Thriller;1949;124
50;Quicksilver Highway;Horror|Thriller;1929;89
51;Shanghai Surprise;Adventure|Crime|Drama|Romance;1968;74
52;London Conspiracy;Action|Mystery;1945;163
53;Silent Hill;Fantasy|Horror|Thriller;1989;192
54;Adventurer, The;Comedy;1960;51
55;Haywire;Action|Thriller;1936;71
56;Just Around the Corner;Comedy|Musical;1915;183
57;Father of the Bride;Comedy;1950;104
